ID,Title,Released,Class of Spike-Binding Protein,Ab/Nb,Chains (If Cocktail),Model Name,Resolution,Cocktail (2+ Different Ab/Nb/Sb),Domain Target on Spike,DOI
7OR9,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and COVOX-278 Fabs,2021-07-07,Antibody,COVOX-278,"H,L",7OR9_1,2.34,Yes,RBD,10.1016/j.cell.2021.06.020
7ORA,Crystal structure of the T478K mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-45 and COVOX-253 Fabs,2021-07-07,Antibody,COVOX-45,"A,B,D,E",7ORA_2;7ORA_3,2.6,Yes,RBD,10.1016/j.cell.2021.06.020
7ORA,Crystal structure of the T478K mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-45 and COVOX-253 Fabs,2021-07-07,Antibody,COVOX-253,"F,G,H,L",7ORA_1;7ORA_4,2.6,Yes,RBD,10.1016/j.cell.2021.06.020
7ORB,Crystal structure of the L452R mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-75 and COVOX-253 Fabs,2021-07-07,Antibody,COVOX-75,"A,B,E,F",7ORB_2;7ORB_3,2.5,Yes,RBD,10.1016/j.cell.2021.06.020
7ORB,Crystal structure of the L452R mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-75 and COVOX-253 Fabs,2021-07-07,Antibody,COVOX-253,"C,D,H,L",7ORB_1;7ORB_4,2.5,Yes,RBD,10.1016/j.cell.2021.06.020
7P40,P5C3 is a potent fab neutralizer,2021-10-13,Antibody,P5C3,,7P40_1;7P40_2;7P40_3,3.5,No,RBD,10.1016/j.celrep.2021.109814
7P77,SARS-CoV-2 spike protein in complex with sybody#15 and sybody#68 in a 3up conformation,2021-08-04,Nanobody/Sybody,Sb#15,"A,D,H",,2.98,Yes,RBD,
7P77,SARS-CoV-2 spike protein in complex with sybody#15 and sybody#68 in a 3up conformation,2021-08-04,Nanobody/Sybody,Sb#68,"W,X,Y",,2.98,Yes,RBD,
7P78,SARS-CoV-2 spike protein in complex with sybody#15 and sybody#68 in a 1up/1up-out/1down conformation,2021-08-04,Nanobody/Sybody,Sb#15,"B,D,H",,3.32,Yes,RBD,
7P78,SARS-CoV-2 spike protein in complex with sybody#15 and sybody#68 in a 1up/1up-out/1down conformation,2021-08-04,Nanobody/Sybody,Sb#68,"W,Y",,3.32,Yes,RBD,
7P79,SARS-CoV-2 spike protein in complex with sybodyb#15 in a 1up/1up-out/1down conformation.,2021-08-04,Nanobody/Sybody,Sb#15,"B,D,H",,4,No,RBD,
7P7A,SARS-CoV-2 spike protein in complex with sybody#68 in a 2up/1flexible conformation,2021-08-04,Nanobody/Sybody,Sb#68,,,4.76,No,RBD,
7P7B,SARS-CoV-2 spike protein in complex with sybody#68 in a 1up/2down conformation,2021-08-04,Nanobody/Sybody,Sb#68,,,3.13,No,RBD,
7PHG,MaP OF P5C3RBD Interface,2021-10-13,Antibody,P5C3,,7PHG_1,4.3,No,RBD,10.1016/j.celrep.2021.109814
7R6W,SARS-CoV-2 spike receptor-binding domain (RBD) in complex with S2X35 Fab and S309 Fab,2021-07-21,Antibody,S2X35,"H,L",7R6W_2,1.83,Yes,RBD,10.1038/s41586-021-03807-6
7R6W,SARS-CoV-2 spike receptor-binding domain (RBD) in complex with S2X35 Fab and S309 Fab,2021-07-21,Antibody,S309,"A,B",7R6W_1,1.83,Yes,RBD,10.1038/s41586-021-03807-6
7R6X,"SARS-CoV-2 spike receptor-binding domain (RBD) in complex with S2E12 Fab, S309 Fab, and S304 Fab",2021-07-21,Antibody,S2E12,"C,D",7R6X_3,2.95,Yes,RBD,10.1038/s41586-021-03807-6
7R6X,"SARS-CoV-2 spike receptor-binding domain (RBD) in complex with S2E12 Fab, S309 Fab, and S304 Fab",2021-07-21,Antibody,S309,"A,B",7R6X_1,2.95,Yes,RBD,10.1038/s41586-021-03807-6
7R6X,"SARS-CoV-2 spike receptor-binding domain (RBD) in complex with S2E12 Fab, S309 Fab, and S304 Fab",2021-07-21,Antibody,S304,"H,L",7R6X_2,2.95,Yes,RBD,10.1038/s41586-021-03807-6
7R7N,SARS-CoV-2 spike in complex with the S2D106 neutralizing antibody Fab fragment (local refinement of the RBD and S2D106),2021-07-21,Antibody,S2D106,,7R7N_1,3.95,No,,10.1038/s41586-021-03807-6
7R8L,Structure of the SARS-CoV-2 RBD in complex with neutralizing antibody C099 and CR3022,2021-08-04,Antibody,C099,"H,L",7R8L_2,2.6,Yes,RBD,10.1016/j.immuni.2021.07.008
7R8L,Structure of the SARS-CoV-2 RBD in complex with neutralizing antibody C099 and CR3022,2021-08-04,Antibody,CR3022,"C,D",7R8L_1,2.6,Yes,RBD,10.1016/j.immuni.2021.07.008
7R8M,Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C032,2021-08-04,Antibody,C032,,7R8M_1;7R8M_2,3.4,No,,10.1016/j.immuni.2021.07.008
7R8N,Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C051,2021-08-04,Antibody,C051,,7R8N_1;7R8N_2;7R8N_3,3.55,No,,10.1016/j.immuni.2021.07.008
7R8O,Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C548,2021-08-04,Antibody,C548,,7R8O_1;7R8O_2;7R8O_3,3.5,No,,10.1016/j.immuni.2021.07.008
7RA8,SARS-CoV-2 S glycoprotein in complex with S2X259 Fab,2021-08-04,Antibody,S2X259,,7RA8_1;7RA8_2;7RA8_3,3.1,No,,10.1038/s41586-021-03817-4
7RAL,SARS-CoV-2 S bound to S2X259 Fab (local refinement of the RBD/S2X259 variable domains),2021-08-04,Antibody,S2X259,,7RAL_1,,No,,10.1038/s41586-021-03817-4
7RKU,"Structure of the SARS-CoV-2 receptor binding domain in complex with the human neutralizing antibody Fab fragment, C022",2021-09-22,Antibody,C022,,,3.2,No,RBD,10.1016/j.celrep.2021.109760
7RKV,Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody C118 (State 1),2021-09-22,Antibody,C118,,7RKV_1;7RKV_2;7RKV_3,3.45,No,,10.1016/j.celrep.2021.109760
7RNJ,S2P6 Fab fragment bound to the SARS-CoV/SARS-CoV-2 spike stem helix peptide,2021-08-11,Antibody,S2P6,,,2.67,No,,10.1126/science.abj3321
7RR0,SARS-CoV-2 receptor binding domain bound to Fab PDI 222,2021-10-06,Antibody,PDI 222,,7RR0_1,3.12,No,RBD,10.1016/j.celrep.2021.109822
7RW2,Cryo-EM structure of NTD-directed neutralizing antibody 5-7 in complex with prefusion SARS-CoV-2 spike glycoprotein,2021-09-01,Antibody,5-7,,7RW2_1;7RW2_2;7RW2_3,3.5,No,NTD,10.1101/2021.06.29.450397
7RXD,CryoEM structure of RBD domain of COVID-19 in complex with Legobody,2021-10-06,Other,Legobody,,7RXD_1,3.6,No,RBD,10.1073/pnas.2115001118
7S0B,Structure of the SARS-CoV-2 RBD in complex with neutralizing antibody N-612-056,2021-10-06,Antibody,N-612-056,,7S0B_1;7S0B_2,2.9,No,RBD,10.1101/2021.09.14.460356
7S0C,Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody N-612-017,2021-10-06,Antibody,N-612-017,,7S0C_1;7S0C_2,3.25,No,,10.1101/2021.09.14.460356
7S0D,Structure of the SARS-CoV-2 S 6P trimer in complex with neutralizing antibody N-612-014,2021-10-06,Antibody,N-612-014,,7S0D_1;7S0D_2;7S0D_3,3.5,No,,10.1101/2021.09.14.460356
7S0E,Structure of the SARS-CoV-2 S1 subunit in complex with antibody N-612-004,2021-10-06,Antibody,N-612-004,,7S0E_1,4.9,No,,10.1101/2021.09.14.460356
7S3N,SARS-CoV-2 S stem helix peptide bound to Fab22,2021-10-27,Antibody,Fab22,,,1.9,No,,10.1016/j.celrep.2021.109929
7S4S,Crystal Structure of SARS-CoV-2 S receptor-binding domain (RBD) in complex CoV11 Fab,2021-09-22,Antibody,CoV11,,7S4S_1,2.05,No,RBD,
7SO9,SARS-CoV-2 S B.1.617.2 delta variant + S2M11 + S2L20 Global Refinement,2021-11-17,Antibody,S2M11,"D,E,G,H,L,M",7SO9_1;7SO9_4;7SO9_6,2.4,Yes,,10.1126/science.abl8506
7SO9,SARS-CoV-2 S B.1.617.2 delta variant + S2M11 + S2L20 Global Refinement,2021-11-17,Antibody,S2L20,"B,C,I,J,N,O",7SO9_2;7SO9_3;7SO9_5,2.4,Yes,,10.1126/science.abl8506
7SOA,SARS-CoV-2 S NTD B.1.617.2 delta variant + S2L20 Local Refinement,2021-11-17,Antibody,S2L20,,7SOA_1,3.1,No,NTD,10.1126/science.abl8506
7SOB,SARS-CoV-2 S B.1.617.1 kappa variant + S309 + S2L20 Global Refinement,2021-11-17,Antibody,S309,"G,H,I,J,N,O",7SOB_1;7SOB_3;7SOB_6,2.4,Yes,,10.1126/science.abl8506
7SOB,SARS-CoV-2 S B.1.617.1 kappa variant + S309 + S2L20 Global Refinement,2021-11-17,Antibody,S2L20,"B,C,E,F,L,M",7SOB_2;7SOB_4;7SOB_5,2.4,Yes,,10.1126/science.abl8506
7SOC,SARS-CoV-2 S RBD B.1.617.1 kappa variant S309 Local Refinement,2021-11-17,Antibody,S309,,7SOC_1,3.3,No,RBD,10.1126/science.abl8506
7SOD,SARS-CoV-2 S NTD B.1.617.1 kappa variant S2L20 Local Refinement,2021-11-17,Antibody,S2L20,,7SOD_1,3.2,No,NTD,10.1126/science.abl8506
7SOE,SARS-CoV-2 S B.1.617.1 kappa variant + S2X303 Global Refinement,2021-11-17,Antibody,S2X303,,,2.8,No,,10.1126/science.abl8506
7SOF,SARS-CoV-2 S NTD B.1.617.1 kappa variant S2X303 Local Refinement,2021-11-17,Antibody,S2X303,,,3.6,No,NTD,10.1126/science.abl8506
7V26,XG005-bound SARS-CoV-2 S,2021-10-20,Antibody,XG005,,7V26_1;7V26_2;7V26_3,3.85,No,RBD,10.1007/s13238-021-00871-6
7V2A,SARS-CoV-2 Spike trimer in complex with XG014 Fab,2021-10-20,Antibody,XG014,,7V2A_1;7V2A_2;7V2A_3,"3.4, 3.4",No,RBD,10.1007/s13238-021-00871-6
7VMU,Crystal Structure of SARS-CoV Spike Receptor-Binding Domain Complexed with Neutralizing Antibody,2021-11-03,Antibody,E4,,7VMU_1,2.89,No,RBD,
7VNB,Crystal structure of the SARS-CoV-2 RBD in complex with a human single domain antibody n3113,2021-11-24,Nanobody/Sybody,n3113,,,2.27,No,RBD,10.1038/s41392-021-00810-1
7VNC,"Structure of the SARS-CoV-2 spike glycoprotein in complex with a human single domain antibody n3113 (UDD-state, state 1)",2021-11-24,Nanobody/Sybody,n3113,,,3.7,No,RBD,10.1038/s41392-021-00810-1
7VND,"Structure of the SARS-CoV-2 spike glycoprotein in complex with a human single domain antibody n3113 (UUD-state, state 2)",2021-11-24,Nanobody/Sybody,n3113,,,3.6,No,RBD,10.1038/s41392-021-00810-1
7VNE,Structure of the SARS-CoV-2 spike glycoprotein in complex with a human single domain antibody n3113.1 (UUU-state),2021-11-24,Nanobody/Sybody,n3113,,,3.5,No,RBD,10.1038/s41392-021-00810-1
